commit_id,filename
340a4ca4e,requirements.txt
d7524ffab,distributed/home.rst
9ce02f83c,distributed/home.rst
11533db05,distributed/home.rst
20712ff82,_static/css/custom.css
6d724dcaa,_static/css/custom.css
930a794c9,requirements.txt
cfefbb267,_static/css/custom.css
cfefbb267,conf.py
cfefbb267,distributed/home.rst
cfefbb267,index.rst
1125546f8,intermediate_source/torchrec_tutorial.rst
b20242033,.jenkins/build.sh
b20242033,.jenkins/metadata.json
b20242033,.jenkins/validate_tutorials_built.py
b20242033,conf.py
e87a735d0,conf.py
339a6873a,beginner_source/audio_data_augmentation_tutorial.py
3f8be2398,runtime.txt
ed64264b9,prototype_source/nestedtensor.py
ce59112c1,advanced_source/cpp_autograd.rst
f1359faad,.jenkins/build.sh
f1359faad,.jenkins/validate_tutorials_built.py
5524d54c2,Makefile
cc39b0809,advanced_source/static_quantization_tutorial.rst
cc39b0809,prototype_source/fx_graph_mode_ptq_static.rst
9fb9f475e,intermediate_source/reinforcement_q_learning.py
08cc9b5b5,intermediate_source/FSDP_tutorial.rst
4918fe4bf,beginner_source/examples_nn/polynomial_module.py
5f10e9972,beginner_source/blitz/autograd_tutorial.py
8e0cd4126,conf.py
8e0cd4126,requirements.txt
e94601a71,intermediate_source/flask_rest_api_tutorial.py
e1ea05e56,requirements.txt
4cc9db485,_static/img/ax_logo.png
88b5e241a,_static/doctools.js
d4eab8acb,intermediate_source/realtime_rpi.rst
f16efbc94,_static/img/ax_logo.png
f16efbc94,index.rst
f16efbc94,intermediate_source/ax_multiobjective_nas_tutorial.py
ebce10340,.jenkins/metadata.json
ebce10340,_static/img/ax_scheduler_illustration.png
ebce10340,conf.py
ebce10340,index.rst
ebce10340,intermediate_source/ax_multiobjective_nas_tutorial.py
ebce10340,intermediate_source/mnist_train_nas.py
ebce10340,requirements.txt
8b8e5d901,.jenkins/get_files_to_run.py
57bb87c90,_static/img/nvfuser_intro/nvfuser_transformer_block.png
57bb87c90,_static/img/nvfuser_intro/nvfuser_tutorial_0.png
57bb87c90,_static/img/nvfuser_intro/nvfuser_tutorial_1.png
57bb87c90,_static/img/nvfuser_intro/nvfuser_tutorial_2.png
57bb87c90,_static/img/nvfuser_intro/nvfuser_tutorial_3.png
57bb87c90,_static/img/nvfuser_intro/nvfuser_tutorial_4.png
57bb87c90,_static/img/nvfuser_intro/nvfuser_tutorial_5.png
57bb87c90,_static/img/nvfuser_intro/nvfuser_tutorial_6.png
57bb87c90,index.rst
57bb87c90,intermediate_source/README.txt
57bb87c90,intermediate_source/nvfuser_intro_tutorial.py
57bb87c90,requirements.txt
3441eb136,beginner_source/nn_tutorial.py
0c76acc9c,intermediate_source/speech_recognition_pipeline_tutorial.py
86aca7dc1,requirements.txt
d57f98cf5,.jenkins/get_files_to_run.py
285073782,.jenkins/build.sh
285073782,requirements.txt
ff9f10fe3,beginner_source/Intro_to_TorchScript_tutorial.py
770665f50,intermediate_source/torchvision_tutorial.rst
d5f7a40ea,beginner_source/transformer_tutorial.py
ae227204a,prototype_source/nestedtensor.py
ae227204a,prototype_source/prototype_index.rst
5ded1fa9b,Makefile
5ded1fa9b,beginner_source/chatbot_tutorial.py
5ded1fa9b,beginner_source/colab.rst
47a91e0fa,intermediate_source/torchvision_tutorial.rst
2be29e477,recipes_source/recipes/amp_recipe.py
a84816deb,intermediate_source/forced_alignment_with_torchaudio_tutorial.py
4132e11e3,beginner_source/audio_data_augmentation_tutorial.py
7976ab181,.circleci/scripts/build_for_windows.sh
7976ab181,.jenkins/build.sh
7976ab181,requirements.txt
dde066ce3,beginner_source/introyt/captumyt.py
90a4763a3,conf.py
90a4763a3,custom_directives.py
90a4763a3,requirements.txt
01a0ab2ff,intermediate_source/torchrec_tutorial.rst
951f3a859,_static/pencil-16.png
951f3a859,advanced_source/generic_join.rst
951f3a859,advanced_source/rpc_ddp_tutorial.rst
951f3a859,beginner_source/dist_overview.rst
951f3a859,conf.py
951f3a859,intermediate_source/FSDP_tutorial.rst
951f3a859,intermediate_source/ddp_tutorial.rst
951f3a859,intermediate_source/dist_pipeline_parallel_tutorial.rst
951f3a859,intermediate_source/dist_tuto.rst
951f3a859,intermediate_source/process_group_cpp_extension_tutorial.rst
951f3a859,intermediate_source/rpc_async_execution.rst
951f3a859,intermediate_source/rpc_param_server_tutorial.rst
951f3a859,intermediate_source/rpc_tutorial.rst
a885873ab,beginner_source/bettertransformer_tutorial.rst
a885873ab,index.rst
c39df02eb,intermediate_source/autograd_saved_tensors_hooks_tutorial.py
72b0ca7c6,intermediate_source/bettertransformer_tutorial.rst
611a688c2,beginner_source/dist_overview.rst
611a688c2,intermediate_source/dist_tuto.rst
6c3b79d41,_static/img/thumbnails/cropped/pytorch-logo.png
6c3b79d41,index.rst
6c3b79d41,intermediate_source/bettertransformer_tutorial.rst
8cb5c3a9a,.jenkins/build.sh
ab8975c67,index.rst
38c0aa597,index.rst
38c0aa597,intermediate_source/FSDP_adavnced_tutorial.rst
091802395,intermediate_source/FSDP_adavnced_tutorial.rst
8c4f244d3,.circleci/config.yml
8c4f244d3,.circleci/config.yml.in
8eb9a3f53,prototype_source/fx_numeric_suite_tutorial.py
2270a9325,requirements.txt
f48ba3169,beginner_source/audio_data_augmentation_tutorial.py
f48ba3169,beginner_source/audio_datasets_tutorial.py
f48ba3169,beginner_source/audio_feature_augmentation_tutorial.py
f48ba3169,beginner_source/audio_feature_extractions_tutorial.py
f48ba3169,beginner_source/audio_io_tutorial.py
f48ba3169,beginner_source/audio_resampling_tutorial.py
61650b037,advanced_source/dynamic_quantization_tutorial.py
c2575d1b9,intermediate_source/memory_format_tutorial.py
bc11e8f24,beginner_source/translation_transformer.py
faf2c476f,intermediate_source/named_tensor_tutorial.py
74b196aa4,recipes_source/recipes/profiler_recipe.py
46e472697,intermediate_source/ddp_tutorial.rst
8a33b50e2,beginner_source/examples_nn/polynomial_nn.py
6e124116a,requirements.txt
bac07c724,beginner_source/basics/tensorqs_tutorial.py
599234a9a,recipes_source/recipes/tuning_guide.py
f5a6007f8,beginner_source/audio_io_tutorial.py
e63af545e,beginner_source/audio_io_tutorial.py
2ab436af5,intermediate_source/reinforcement_q_learning.py
7f81ee9a9,_templates/layout.html
70393d4fa,intermediate_source/ddp_tutorial.rst
e086db650,intermediate_source/FSDP_tutorial.rst
d909b5d2f,.jenkins/get_files_to_run.py
d1f4760df,.jenkins/get_files_to_run.py
d1f4760df,.jenkins/test_files_to_run.py
458285f5e,.jenkins/get_files_to_run.py
72f72b585,advanced_source/sharding.rst
72f72b585,index.rst
b981afccf,advanced_source/static_quantization_tutorial.rst
d594a144a,.circleci/config.yml
d594a144a,.circleci/config.yml.in
d594a144a,.jenkins/get_docker_tag.py
ae7458373,advanced_source/sharding.rst
99dd93d84,beginner_source/introyt/introyt1_tutorial.py
e26e96be2,beginner_source/dcgan_faces_tutorial.py
9b751a7bc,.circleci/config.yml
9b751a7bc,.circleci/regenerate.py
9b751a7bc,.jenkins/build.sh
9b751a7bc,.jenkins/get_files_to_run.py
